iteration_limit,game_index,seed,winner,deciding_criterion,secured_margin_p1_minus_p2,advantage_margin_p1_minus_p2,corrected_objective_piece_margin_p1_minus_p2,first_persistent_full_lexicographic_lead_turn,early_central_placement_any,early_central_placement_count,first_central_commitment_turn,first_central_commitment_p1_turn,central_occupation_after_p1_turn_1,central_occupation_after_p1_turn_2,central_occupation_after_p1_turn_3,early_central_occupation_turn_count,early_central_contest_any,early_central_contest_turn_count,sample
10000,15,1091000014,2,advantage_objectives,0,-1,-1,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,16,1091000015,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,17,1091000016,1,secured_objectives,1,-1,-2,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,18,1091000017,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,19,1091000018,2,secured_objectives,-1,2,3,16,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,20,1091000019,1,secured_objectives,2,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,21,1091000020,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,22,1091000021,1,objective_pieces,0,0,1,3,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
10000,23,1091000022,1,secured_objectives,2,-2,-3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,24,1091000023,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,25,1091000024,1,secured_objectives,1,1,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,26,1091000025,2,advantage_objectives,0,-1,-2,16,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,27,1091000026,1,secured_objectives,1,1,1,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,28,1091000027,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,29,1091000028,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,30,1091000029,1,secured_objectives,1,0,-1,15,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,31,1091000030,1,secured_objectives,2,-1,-3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,32,1091000031,1,secured_objectives,1,0,0,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,33,1091000032,2,advantage_objectives,0,-1,-2,10,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,34,1091000033,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,35,1091000034,2,secured_objectives,-1,2,2,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,36,1091000035,1,secured_objectives,1,0,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,37,1091000036,1,advantage_objectives,0,1,2,17,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,38,1091000037,2,advantage_objectives,0,-1,-2,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,39,1091000038,1,advantage_objectives,0,1,2,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,40,1091000039,2,advantage_objectives,0,-1,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,41,1091000040,2,secured_objectives,-1,2,3,16,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
10000,42,1091000041,1,secured_objectives,1,-2,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,43,1091000042,1,advantage_objectives,0,2,3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,44,1091000043,1,advantage_objectives,0,2,3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,45,1091000044,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,46,1091000045,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,47,1091000046,1,secured_objectives,1,0,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,48,1091000047,1,secured_objectives,1,-2,-2,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,49,1091000048,1,advantage_objectives,0,1,2,13,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,50,1091000049,1,advantage_objectives,0,1,1,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,51,1091000050,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,52,1091000051,1,secured_objectives,1,-1,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,53,1091000052,2,secured_objectives,-1,1,2,14,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,54,1091000053,2,secured_objectives,-1,0,1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,55,1091000054,1,secured_objectives,1,0,-1,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,56,1091000055,1,secured_objectives,1,0,0,13,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,57,1091000056,1,advantage_objectives,0,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,58,1091000057,1,advantage_objectives,0,2,2,5,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,59,1091000058,1,secured_objectives,1,1,1,13,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,60,1091000059,1,secured_objectives,1,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,61,1091000060,2,advantage_objectives,0,-1,-2,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,62,1091000061,2,secured_objectives,-1,0,0,18,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
10000,63,1091000062,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,64,1091000063,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,65,1091000064,1,secured_objectives,1,0,0,15,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,66,1091000065,1,secured_objectives,1,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,67,1091000066,1,secured_objectives,1,-1,-1,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,68,1091000067,1,advantage_objectives,0,1,2,11,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,69,1091000068,1,secured_objectives,1,0,0,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,70,1091000069,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,71,1091000070,2,secured_objectives,-1,0,0,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,72,1091000071,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,73,1091000072,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,74,1091000073,1,secured_objectives,1,0,-1,15,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,75,1091000074,1,secured_objectives,1,-2,-2,17,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,76,1091000075,1,secured_objectives,1,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,77,1091000076,1,advantage_objectives,0,1,2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,78,1091000077,2,secured_objectives,-1,2,4,12,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,79,1091000078,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,80,1091000079,1,secured_objectives,1,0,-1,13,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,81,1091000080,1,secured_objectives,1,-2,-3,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,82,1091000081,1,advantage_objectives,0,1,0,15,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,83,1091000082,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,84,1091000083,1,secured_objectives,1,0,-1,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,85,1091000084,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,86,1091000085,1,advantage_objectives,0,1,2,9,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,87,1091000086,1,advantage_objectives,0,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,88,1091000087,1,advantage_objectives,0,1,2,13,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,89,1091000088,1,secured_objectives,2,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,90,1091000089,1,secured_objectives,2,0,-1,5,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
10000,91,1091000090,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,92,1091000091,2,advantage_objectives,0,-1,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,93,1091000092,1,secured_objectives,1,1,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,94,1091000093,2,secured_objectives,-2,2,4,16,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
10000,95,1091000094,2,advantage_objectives,0,-1,-2,16,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,96,1091000095,2,objective_pieces,0,0,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,97,1091000096,1,secured_objectives,1,0,0,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
10000,98,1091000097,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,99,1091000098,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
10000,100,1091000099,1,advantage_objectives,0,2,3,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,1,1111000000,1,secured_objectives,2,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,2,1111000001,1,secured_objectives,1,0,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,3,1111000002,1,secured_objectives,2,-1,-3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,4,1111000003,2,secured_objectives,-1,2,3,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,5,1111000004,1,secured_objectives,1,0,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,6,1111000005,2,advantage_objectives,0,-1,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,7,1111000006,2,secured_objectives,-1,1,1,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,8,1111000007,2,secured_objectives,-1,1,1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,9,1111000008,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,10,1111000009,1,secured_objectives,1,-2,-3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,11,1111000010,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,12,1111000011,1,advantage_objectives,0,1,1,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,13,1111000012,2,advantage_objectives,0,-1,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,14,1111000013,1,secured_objectives,2,-1,-1,13,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,15,1111000014,2,secured_objectives,-1,1,1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,16,1111000015,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,17,1111000016,2,objective_pieces,0,0,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,18,1111000017,2,secured_objectives,-1,2,2,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,19,1111000018,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,20,1111000019,1,secured_objectives,1,0,0,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,21,1111000020,1,secured_objectives,1,0,0,13,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,22,1111000021,1,secured_objectives,1,0,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,23,1111000022,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,24,1111000023,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,25,1111000024,2,secured_objectives,-1,1,2,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,26,1111000025,1,secured_objectives,1,0,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,27,1111000026,2,secured_objectives,-1,1,2,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,28,1111000027,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,29,1111000028,2,advantage_objectives,0,-1,-2,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,30,1111000029,1,secured_objectives,1,-1,-1,17,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,31,1111000030,2,secured_objectives,-2,0,1,12,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,32,1111000031,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,33,1111000032,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,34,1111000033,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,35,1111000034,1,advantage_objectives,0,1,2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,36,1111000035,1,secured_objectives,1,0,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,37,1111000036,1,secured_objectives,1,0,0,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,38,1111000037,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,39,1111000038,1,advantage_objectives,0,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,40,1111000039,1,secured_objectives,2,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,41,1111000040,1,advantage_objectives,0,1,1,13,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,42,1111000041,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,43,1111000042,1,secured_objectives,1,-2,-3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,44,1111000043,1,secured_objectives,2,-2,-3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,45,1111000044,1,secured_objectives,1,0,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,46,1111000045,1,advantage_objectives,0,1,1,13,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,47,1111000046,2,advantage_objectives,0,-1,-2,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,48,1111000047,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,49,1111000048,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,50,1111000049,2,secured_objectives,-1,2,2,16,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,51,1111000050,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,52,1111000051,2,secured_objectives,-1,1,2,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,53,1111000052,1,secured_objectives,2,-1,-2,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,54,1111000053,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,55,1111000054,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,56,1111000055,1,secured_objectives,1,0,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,57,1111000056,2,secured_objectives,-1,2,3,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,58,1111000057,2,secured_objectives,-1,1,1,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,59,1111000058,1,advantage_objectives,0,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,60,1111000059,2,secured_objectives,-1,2,2,12,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,61,1111000060,2,objective_pieces,0,0,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,62,1111000061,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,63,1111000062,1,advantage_objectives,0,1,2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,64,1111000063,1,secured_objectives,2,-1,-3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,65,1111000064,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,66,1111000065,1,secured_objectives,1,-1,-1,17,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,67,1111000066,1,advantage_objectives,0,2,4,15,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,68,1111000067,1,secured_objectives,2,-3,-5,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,69,1111000068,1,secured_objectives,2,0,0,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,70,1111000069,1,advantage_objectives,0,1,2,13,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,71,1111000070,1,secured_objectives,2,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,72,1111000071,2,secured_objectives,-1,0,0,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,73,1111000072,2,secured_objectives,-1,1,1,8,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,74,1111000073,1,secured_objectives,3,-3,-6,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,75,1111000074,1,advantage_objectives,0,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,76,1111000075,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,77,1111000076,1,advantage_objectives,0,1,2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,78,1111000077,1,advantage_objectives,0,1,2,15,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,79,1111000078,2,secured_objectives,-1,0,0,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,80,1111000079,1,advantage_objectives,0,1,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,81,1111000080,1,secured_objectives,1,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,82,1111000081,1,secured_objectives,2,-3,-5,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,83,1111000082,1,secured_objectives,1,2,2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,84,1111000083,1,advantage_objectives,0,1,1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,85,1111000084,1,secured_objectives,1,0,0,15,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
30000,86,1111000085,2,secured_objectives,-1,2,3,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,87,1111000086,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,88,1111000087,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,89,1111000088,1,secured_objectives,1,-1,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,90,1111000089,2,advantage_objectives,0,-1,-2,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,91,1111000090,1,secured_objectives,2,-1,-3,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,92,1111000091,1,secured_objectives,1,0,-1,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,93,1111000092,1,secured_objectives,2,-1,-2,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,94,1111000093,1,secured_objectives,2,0,0,3,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,95,1111000094,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,96,1111000095,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,97,1111000096,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
30000,98,1111000097,2,secured_objectives,-1,2,2,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,99,1111000098,2,secured_objectives,-1,0,0,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
30000,100,1111000099,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,1,1181000000,2,advantage_objectives,0,-1,-1,18,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
100000,2,1181000001,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,3,1181000002,2,secured_objectives,-1,3,3,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
100000,4,1181000003,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,5,1181000004,1,advantage_objectives,0,1,1,17,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,6,1181000005,2,advantage_objectives,0,-1,-2,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,7,1181000006,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,8,1181000007,0,draw,0,0,0,,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
100000,9,1181000008,1,secured_objectives,1,0,-1,13,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,10,1181000009,1,advantage_objectives,0,1,1,13,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,11,1181000010,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,12,1181000011,2,objective_pieces,0,0,-1,18,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
100000,13,1181000012,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,14,1181000013,1,secured_objectives,2,-2,-3,15,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,15,1181000014,2,secured_objectives,-2,1,2,12,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,16,1181000015,2,secured_objectives,-1,2,3,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,17,1181000016,2,secured_objectives,-1,2,3,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,18,1181000017,1,secured_objectives,1,0,-1,17,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,19,1181000018,2,secured_objectives,-1,1,1,16,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,20,1181000019,2,advantage_objectives,0,-1,-2,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,21,1181000020,1,secured_objectives,1,0,-1,15,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
100000,22,1181000021,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,23,1181000022,2,advantage_objectives,0,-1,-2,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,24,1181000023,2,advantage_objectives,0,-1,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
100000,25,1181000024,2,secured_objectives,-1,0,0,14,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,26,1181000025,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,27,1181000026,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,28,1181000027,2,secured_objectives,-1,2,2,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,29,1181000028,1,secured_objectives,1,0,0,15,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,30,1181000029,1,secured_objectives,1,-1,-1,17,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
100000,31,1181000030,2,advantage_objectives,0,-1,-2,18,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
100000,32,1181000031,2,secured_objectives,-1,1,1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,33,1181000032,2,advantage_objectives,0,-1,-1,18,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,34,1181000033,1,secured_objectives,2,-1,-1,9,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
100000,35,1181000034,0,draw,0,0,0,,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,36,1181000035,1,secured_objectives,1,0,0,13,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,37,1181000036,1,advantage_objectives,0,1,2,13,True,8,1,1,True,True,True,3,True,5,issue-108-corrected
100000,38,1181000037,1,secured_objectives,1,0,-1,17,True,6,1,1,True,True,True,3,True,5,issue-108-corrected
100000,39,1181000038,2,objective_pieces,0,0,-1,18,True,7,1,1,True,True,True,3,True,5,issue-108-corrected
