source_issue,dataset_id,board,iteration_limit,validated_games,terminal_rescoring,search_generation_impact,winner_changes,winner_change_percentage,note
73,issue-73:7x7-seeded-random,7x7,-1,100,recomputable from existing trials,unaffected by terminal scoring correction,2,2.0,Seeded-Random move generation does not consult terminal evaluation when selecting moves.
73,issue-73:7x7-uct-0100,7x7,100,50,recomputable from existing trials,requires new self-play for valid inference,1,2.0,UCT value propagation and move selection may depend on the previous terminal result.
73,issue-73:7x7-uct-0500,7x7,500,50,recomputable from existing trials,requires new self-play for valid inference,5,10.0,UCT value propagation and move selection may depend on the previous terminal result.
73,issue-73:7x7-uct-1000,7x7,1000,50,recomputable from existing trials,requires new self-play for valid inference,6,12.0,UCT value propagation and move selection may depend on the previous terminal result.
77,issue-77:7x7-p84-seeded-random,7x7,-1,100,recomputable from existing trials,unaffected by terminal scoring correction,2,2.0,Seeded-Random move generation does not consult terminal evaluation when selecting moves.
77,issue-77:7x7-p84-uct-0100,7x7,100,50,recomputable from existing trials,requires new self-play for valid inference,3,6.0,UCT value propagation and move selection may depend on the previous terminal result.
77,issue-77:7x7-p84-uct-0500,7x7,500,50,recomputable from existing trials,requires new self-play for valid inference,5,10.0,UCT value propagation and move selection may depend on the previous terminal result.
77,issue-77:7x7-p84-uct-1000,7x7,1000,50,recomputable from existing trials,requires new self-play for valid inference,6,12.0,UCT value propagation and move selection may depend on the previous terminal result.
77,issue-77:7x7-p96-seeded-random,7x7,-1,100,recomputable from existing trials,unaffected by terminal scoring correction,0,0.0,Seeded-Random move generation does not consult terminal evaluation when selecting moves.
77,issue-77:7x7-p96-uct-0100,7x7,100,50,recomputable from existing trials,requires new self-play for valid inference,3,6.0,UCT value propagation and move selection may depend on the previous terminal result.
77,issue-77:7x7-p96-uct-0500,7x7,500,50,recomputable from existing trials,requires new self-play for valid inference,0,0.0,UCT value propagation and move selection may depend on the previous terminal result.
77,issue-77:7x7-p96-uct-1000,7x7,1000,50,recomputable from existing trials,requires new self-play for valid inference,8,16.0,UCT value propagation and move selection may depend on the previous terminal result.
82,issue-82:3x3-uct-10000,3x3,10000,100,recomputable from existing trials,requires new self-play for valid inference,1,1.0,UCT value propagation and move selection may depend on the previous terminal result.
82,issue-82:3x3-uct-100000,3x3,100000,100,recomputable from existing trials,requires new self-play for valid inference,1,1.0,UCT value propagation and move selection may depend on the previous terminal result.
82,issue-82:3x3-uct-30000,3x3,30000,100,recomputable from existing trials,requires new self-play for valid inference,3,3.0,UCT value propagation and move selection may depend on the previous terminal result.
